"KommunKod","AntalGiftaKvinnor","AntalGiftaMan","AntalOgiftaKvinnor","AntalOgiftaMan","AntalSkildaKvinnor","AntalSkildaMan","Ankor","Anklingar"
"0486",6243,6306,7664,8698,1972,1625,1222,372
"0488",2362,2373,2631,2953,649,567,413,130
"0509",977,976,1125,1334,243,261,255,65
"0512",762,765,684,927,148,137,174,61
"0513",1871,1896,2121,2534,412,366,467,128
"0560",1014,1015,1151,1393,231,242,213,69
"0561",2207,2230,2447,3006,517,447,536,155
"0562",3848,3887,4555,5632,1064,949,935,329
"0563",1464,1497,1505,1939,402,419,398,123
"0580",25254,25357,38426,45537,7160,5106,4676,1450
"0581",22405,22369,33991,38720,7580,5715,4899,1356
"0582",2724,2746,3143,3680,670,548,536,193
"0583",7527,7565,9689,11846,2167,1744,1842,523
"0584",1414,1428,1483,1776,422,334,438,112
"0586",4617,4649,6188,7457,1269,1018,1102,302
"0604",1296,1304,1387,1696,245,262,272,75
"0617",1906,1933,2008,2536,352,336,351,92
"0642",1402,1395,1578,1826,333,279,264,80
"0643",2320,2317,2597,2992,344,340,319,85
"0662",5487,5511,6501,7917,1247,1089,1207,313
"0665",2644,2651,2973,3521,465,441,545,132
"0680",23962,23982,32143,36425,6095,4597,4787,1319
"0682",5639,5695,6648,8290,1360,1159,1287,373
"0683",6416,6425,7338,8898,1421,1183,1442,350
"0684",2240,2266,2336,2978,361,352,534,161
"0685",5028,5063,5863,7372,1072,912,1228,335
"0686",3116,3141,3643,4419,826,637,792,216
"0687",3393,3397,4125,4981,863,704,833,250
"0760",1694,1748,1965,2594,382,375,431,130
"0761",1571,1624,1823,2363,352,307,369,107
"0763",2173,2187,2621,3360,561,478,694,186
"0764",3682,3731,4294,5321,758,724,832,239
"0765",3080,3114,3603,4325,642,539,656,209
"0767",1856,1900,1999,2548,443,405,490,138
"0780",14794,14838,21991,25591,4173,3080,2820,821
"0781",5099,5144,6061,7496,1228,1067,1236,307
"0821",1038,1060,1171,1591,284,278,347,88
"0834",1203,1240,1376,1936,361,368,353,106
"0840",2883,2894,3214,3614,662,569,654,179
"0860",2503,2587,2819,3803,648,579,790,190
"0861",2337,2378,2847,3494,629,607,661,191
"0862",1607,1633,1944,2473,411,400,474,148
"0880",10490,10546,16804,18664,3551,2572,2386,691
"0881",3450,3500,4295,5433,1004,837,957,278
"0882",4781,4796,5787,7217,1261,1031,1238,339
"0883",6452,6474,7804,9362,1939,1644,1819,555
"0884",2732,2740,3427,4407,633,528,745,207
"0885",2072,2092,2040,2534,612,569,579,183
"0980",9285,9326,13879,15877,3247,2631,2425,721
"1060",2360,2405,2674,3531,739,618,651,192
"1080",11204,11311,14827,18834,3270,2599,2663,672
"1081",5205,5286,6153,7708,1496,1229,1233,387
"1082",5614,5652,7066,8557,1748,1384,1386,439
"1083",3078,3123,3702,4532,933,756,778,258
"1214",2436,2482,3033,3789,628,680,443,164
"1230",4628,4652,5310,5708,1081,825,684,231
"1231",3230,3288,3841,4445,1032,833,586,175
"1233",7440,7488,7268,8028,1599,1271,1208,365
"1256",2551,2607,3082,3810,671,628,544,209
"1257",1775,1819,2047,2557,560,516,436,121
"1260",2652,2710,3360,3941,819,771,518,191
"1261",5845,5882,6988,7814,1354,1072,864,285
"1262",4968,4941,4945,5752,967,687,807,257
"1263",3940,3975,4788,5361,869,733,587,209
"1264",2755,2776,3480,3974,801,634,540,189
"1265",3221,3268,4092,4910,1024,1021,720,258
"1266",2638,2694,3408,3945,807,713,639,176
"1267",2964,2979,3582,4093,871,761,564,156
"1270",2230,2251,3035,3579,696,574,558,209
"1272",2328,2356,2713,3256,632,563,499,166
"1273",2334,2361,2853,3504,645,503,594,160
"1275",1234,1265,1516,1938,419,427,321,91
"1276",2896,2959,3737,4508,998,908,687,224
"1277",2689,2734,3453,4146,788,699,528,156
"1278",2852,2899,2819,3353,857,686,700,207
"1280",49070,49720,83083,91472,21546,15244,9920,2519
"1281",18510,18471,31344,35074,5845,3699,3049,842
"1282",7720,7778,9744,11383,2911,2305,1654,466
"1283",22943,23121,32844,36834,9343,6696,4786,1342
"1284",5209,5242,5208,5973,1393,1065,1159,361
"1285",5812,5820,7462,8966,1616,1278,1154,330
"1286",5356,5404,6269,7103,1782,1219,1454,398
"1287",8061,8139,9357,11010,2490,2023,1741,538
"1290",14477,14595,19348,21940,4647,3556,3045,902
"1291",3761,3801,3752,4343,1188,875,1006,339
"1292",7419,7437,9235,10269,2393,1728,1772,479
"1293",9237,9275,11286,13426,2826,2309,2022,667
"1315",1924,1976,2271,2871,437,437,471,127
"1380",16589,16736,23089,26435,5458,3942,3665,1038
"1381",4605,4625,5216,6292,1117,1007,1020,313
"1382",7951,8002,9544,11361,2077,1730,1793,491
"1383",11105,11142,14021,16294,3094,2359,2314,701
"1384",15633,15627,17977,20095,3718,2854,2434,806
"1401",6860,6870,8907,9973,1526,1289,945,281
"1402",6814,6794,8607,10052,1911,1378,1092,329
"1407",2709,2700,2547,2980,560,508,513,165
"1415",4644,4654,5878,6786,1379,1072,813,282
"1419",3222,3290,2977,3634,734,667,567,224
"1421",2946,2980,3008,3621,822,774,621,238
"1427",1837,1894,1612,1999,501,465,524,174
"1430",1754,1780,2195,2855,509,502,465,145
"1435",2281,2295,2638,3207,677,621,544,192
"1438",755,761,1083,1463,234,211,227,65
"1439",1075,1079,1483,1897,329,294,265,73
"1440",5283,5302,6722,7910,1360,1152,815,318
"1441",7841,7854,9281,10467,1809,1436,1104,389
"1442",2085,2092,2592,3016,479,417,374,110
"1443",1679,1678,2000,2319,422,347,265,89
"1444",1021,1016,1242,1585,258,220,233,69
"1445",991,997,1332,1488,240,239,236,67
"1446",1279,1294,1381,1738,319,299,354,100
"1447",975,995,1033,1314,273,264,283,92
"1452",2209,2227,2440,3146,457,469,515,156
"1460",1654,1686,2027,2727,447,422,520,143
"1461",1649,1699,1824,2461,486,447,464,139
"1462",2264,2297,2962,3712,703,668,417,155
"1463",6230,6252,7641,8976,1667,1373,1373,394
"1465",1920,1933,2242,2822,531,495,425,138
"1466",1715,1718,2102,2520,428,388,376,102
"1470",2709,2717,3563,4458,702,645,676,192
"1471",2556,2580,2843,3491,528,499,513,150
"1472",1974,1989,2435,2976,514,428,523,141
